line_id, coordinate_x, coordinate_y
0, 0, 0
0, 0.20004, 3.58778e-18
0, 0.40008, 7.06377e-18
0, 0.60012, 1.0428e-17
0, 0.80016, 1.36803e-17
0, 1.0002, 1.68209e-17
0, 1.20024, 1.98949e-17
0, 1.40028, 2.29477e-17
0, 1.60032, 2.59791e-17
0, 1.80036, 2.89893e-17
0, 2.0004, 3.19782e-17
0, 2.20044, 3.49062e-17
0, 2.40048, 3.77341e-17
0, 2.60052, 4.04618e-17
0, 2.80056, 4.30893e-17
0, 3.0006, 4.56167e-17
0, 3.20064, 4.8066e-17
0, 3.40068, 5.0459e-17
0, 3.60072, 5.27957e-17
0, 3.80076, 5.50762e-17
0, 4.0008, 5.73005e-17
0, 4.20084, 5.94699e-17
0, 4.40088, 6.15858e-17
0, 4.60092, 6.36483e-17
0, 4.80096, 6.56574e-17
0, 5.001, 6.7613e-17
0, 5.20104, 6.95165e-17
0, 5.40108, 7.13693e-17
0, 5.60112, 7.31714e-17
0, 5.80116, 7.49227e-17
0, 6.0012, 7.66233e-17
0, 6.20124, 7.82744e-17
0, 6.40128, 7.98775e-17
0, 6.60132, 8.14324e-17
0, 6.80136, 8.29392e-17
0, 7.0014, 8.43978e-17
0, 7.20144, 8.58233e-17
0, 7.40148, 8.72301e-17
0, 7.60152, 8.86182e-17
0, 7.80156, 8.99876e-17
0, 8.0016, 9.13382e-17
0, 8.20164, 9.26441e-17
0, 8.40168, 9.38797e-17
0, 8.60172, 9.50451e-17
0, 8.80176, 9.61402e-17
0, 9.0018, 9.71651e-17
0, 9.20184, 9.81347e-17
0, 9.40188, 9.90632e-17
0, 9.60192, 9.99507e-17
0, 9.80196, 1.00797e-16
0, 10.002, 1.01603e-16
0, 10.202, 1.02358e-16
0, 10.4021, 1.03053e-16
0, 10.6021, 1.03687e-16
0, 10.8022, 1.04262e-16
0, 11.0022, 1.04777e-16
0, 11.2022, 1.05255e-16
0, 11.4023, 1.05717e-16
0, 11.6023, 1.06163e-16
0, 11.8024, 1.06594e-16
